Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
is	11.690355	2.700085	11.750617	3.435608	1.312051	0.313304
it	10.732055	2.255667	10.736662	2.650634	1.423519	0.264378
jacket	11.507110	4.177119	10.581925	4.672916	3.401947	0.402403
jar	12.339178	5.783024	13.291063	0.783024	4.146991	1.859367
jeans	12.764659	6.314232	10.934425	7.488735	3.711154	0.130541
jelly	12.609937	4.922402	11.475681	5.963631	3.147133	0.377772
juice	11.601878	2.716762	16.601878	-2.283238	2.314280	2.356972
jump	11.248127	3.407097	10.366054	2.166238	3.461911	0.637636
keys	11.158734	5.408856	9.689947	0.408856	5.044496	0.966215
kick	11.583732	6.255276	11.671012	4.924173	3.312809	1.102046
kiss	10.764404	2.479083	11.698163	-2.520917	3.762661	1.502143
kitchen	11.713140	3.556354	12.135196	3.313483	2.411139	0.802431
kitty	11.333308	3.591698	13.550381	1.864150	2.474475	1.484079
knee	12.289926	3.394511	12.355359	2.001328	3.277835	0.818553
knife	13.323244	4.727573	11.652317	5.191772	3.049931	0.335623
knock	11.490345	4.608437	11.593985	-0.391563	4.361815	1.561432
ladder	13.259206	5.058376	11.817494	5.803504	2.826492	0.333135
lady	12.134329	5.056449	12.137479	5.095820	2.485209	0.957893
lamb	10.365344	4.425212	9.023725	4.755428	3.763509	0.182646
lamp	12.087126	4.888304	11.298178	3.330691	3.946328	0.452850
last	10.988340	4.531212	12.682301	-0.468788	3.802697	2.179186
later	11.169224	3.694317	10.680544	1.030979	3.673449	0.887793
lawn	13.310132	6.571093	11.739238	6.523228	3.716275	0.450601
leg	12.680778	3.669541	12.929676	1.839919	3.053086	0.974183
lick	11.602278	5.361823	10.855647	5.548859	3.585757	0.341960
light	11.803395	3.921262	13.532269	0.505671	3.187046	1.515727
like	11.025392	1.861076	11.912911	2.483755	1.425657	0.524882
lion	11.967922	4.004396	12.274798	3.668717	2.582535	0.820050
lips	13.083234	5.720632	12.337327	5.469824	3.303776	0.518311
listen	12.207688	5.134068	12.973583	5.470356	2.056055	1.111438
little	12.284696	3.303905	11.816240	4.189837	1.456317	0.282286
living	11.752852	4.877810	11.271678	3.881733	3.385985	0.677420
lollipop	13.575035	3.908807	11.748337	3.993132	3.413359	0.283984
long	11.281272	3.867203	12.445993	3.417832	2.345446	0.987018
look	10.975288	3.100336	12.064948	3.742975	1.351167	0.558040
loud	11.237081	4.527510	10.575687	4.379713	3.404969	0.474180
love	11.882154	4.834533	12.495043	6.153559	1.213864	0.561015
lunch	10.688157	3.414501	10.548375	2.051051	3.267738	0.760531
mad	10.689282	6.284785	9.691312	6.868232	3.335952	0.183468
make	11.610626	4.380188	11.555645	5.143441	1.552224	0.315719
man	12.070056	4.391486	12.350745	5.204365	2.110517	0.546455
me	11.648031	1.693661	12.063713	2.211393	1.718390	0.487198
meat	12.032762	4.655618	10.430026	5.259801	3.428771	0.327247
medicine	13.390263	3.945328	11.971489	3.976668	3.160120	0.507266
milk	12.144708	3.556045	13.200225	2.934119	2.301332	0.991895
mine	11.196273	4.213934	10.961654	4.413813	2.730261	0.528655
mommy	11.659095	4.105165	16.659095	3.896608	0.967712	1.823828
money	12.470210	3.943242	12.309051	3.860378	2.804307	0.612376
monkey	10.824592	4.290875	12.112901	-0.709125	3.900311	1.729741
moo	11.915833	4.099632	12.938424	-0.900368	3.819741	2.043209
moon	11.534685	2.259389	11.663207	-2.740611	3.896901	1.228578
moose	12.818064	6.383098	11.135466	6.613527	3.586420	0.367363
mop	14.310068	7.811527	12.121987	7.840247	3.667751	0.256128
more	11.207379	3.712545	11.895296	4.616546	1.434390	0.442217
morning	12.232762	2.796621	12.151185	3.193779	2.382219	0.600812
motorcycle	11.918428	4.713408	11.950665	4.140216	3.443256	1.047731
mouse	12.215133	3.352046	13.931350	1.625312	2.739356	1.254299
mouth	11.080845	1.644703	14.348301	-0.733853	2.248240	1.358319
movie	13.549315	4.319700	12.153180	5.177527	3.231731	0.294028
much	11.169198	2.613773	12.146928	0.397377	2.680624	1.252230
muffin	14.034540	5.135594	12.332946	5.082115	3.532317	0.410306
my	11.344633	4.523952	12.007294	5.345944	1.365749	0.407931
myself	11.550992	4.249194	10.602399	4.684921	3.123148	0.314487
nail	13.637757	7.081971	12.456419	6.882944	3.244643	0.528718
nap	11.472268	3.212835	11.093992	0.219592	3.809559	0.930976
napkin	12.529962	5.857724	11.366147	5.920277	3.405738	0.348614
naughty	13.422700	4.541375	11.586889	5.545620	2.874727	0.314037
necklace	13.611871	6.075764	12.202452	5.606744	3.418298	0.527050
need	12.042893	4.297647	11.712293	5.040078	1.841055	0.340087
new	11.363958	5.385150	12.715890	5.791229	1.480516	0.728995
next	11.085360	5.562420	12.262366	5.468035	1.927022	1.009281
nice	11.341495	3.926645	14.172560	3.828630	1.179640	1.122154
night	11.034819	3.932663	13.816867	-1.067337	3.263341	2.188541
no	10.316498	3.185156	9.952454	3.645130	1.547793	0.183080
noisy	12.161953	6.146289	11.771125	5.537270	3.250073	0.839455
