source,sample_label,language,measure_type,method,subject_id,n_recordings,log_r,tokens_per_hour,citation_path
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),27,12,7.2717,1438.9467,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),28,12,6.702,814.0051,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),29,12,7.2247,1372.961,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),30,12,7.1624,1289.9925,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),31,12,7.0146,1112.7244,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),32,12,6.8207,916.6417,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),33,12,7.5154,1836.1477,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),34,12,6.155,471.0786,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),35,12,7.1514,1275.8484,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),36,12,7.1466,1269.8025,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),37,12,6.589,727.0656,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),38,12,7.5317,1866.3221,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),39,12,6.9929,1088.8837,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),40,12,6.7667,868.4124,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),41,12,7.0587,1162.913,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),42,12,7.0392,1140.4178,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),43,12,7.2126,1356.3692,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),44,12,6.355,575.3575,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),45,12,6.3388,566.1449,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),46,12,6.9298,1022.3151,papers/input_estimation/bergelson_etal_2018.pdf
