Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
have	11.386877	2.193977	11.403171	3.051555	1.385021	0.313677
he	11.867475	2.610900	12.736925	3.504138	1.416748	0.487521
head	11.765953	3.047670	11.645776	3.430366	1.969481	0.574109
hear	11.985395	3.752273	13.018012	4.267379	1.754383	0.753415
heavy	11.508616	4.652342	10.489174	4.698103	3.178574	0.520836
helicopter	12.861613	4.051148	11.727650	4.752261	3.232537	0.405808
hello	11.384411	3.839233	13.458503	4.330047	1.361616	0.865392
help	11.723074	3.790182	13.202878	3.833253	1.941599	1.025690
her	11.173328	1.950091	12.706004	2.096695	1.814005	0.764009
here	11.065084	3.234710	10.908448	3.940336	1.471211	0.263123
hi	11.043747	4.294537	10.759962	6.071091	1.436555	0.214063
hide	11.384703	3.812468	10.633001	4.261424	3.363903	0.392701
high	11.422796	5.099238	11.955167	4.085477	2.872820	1.197261
him	11.620093	2.236328	13.441040	2.510026	1.744339	0.778938
his	11.627389	3.950792	13.249540	4.192169	1.442329	0.793451
hit	11.733438	5.513794	14.628433	1.965402	2.759064	2.382523
hold	11.366908	5.182084	11.510633	6.116901	1.580313	0.368364
home	11.342320	0.662496	13.543199	1.401026	1.535434	0.669763
horse	11.151238	3.788640	11.755881	3.308126	2.513230	1.008346
hose	13.108198	4.862382	11.699839	5.035126	3.428624	0.334845
hot	11.354722	3.800757	11.045712	4.383930	2.655762	0.436916
house	11.327159	2.130267	12.288454	1.694500	2.468716	0.984747
how	11.245976	4.219964	12.339999	4.864774	1.246743	0.568163
hug	11.278134	3.457407	12.114732	-0.247434	3.581090	1.694799
hungry	11.076620	3.734716	11.632311	2.701897	2.791451	1.082102
hurry	11.450093	6.312599	10.623450	6.881825	3.623373	0.284597
hurt	11.394016	3.682438	11.004669	3.687891	2.900384	0.691595
i	11.794809	4.299141	11.167268	4.150226	3.101038	0.542290
ice	11.255405	4.369389	16.255405	4.187008	0.811019	1.626889
if	11.804682	4.028732	12.338519	4.536717	1.512233	0.541080
inside	12.816357	5.030146	13.866153	4.880296	2.100268	0.973603
into	11.556364	5.303465	13.390400	5.740110	1.354777	0.847229
is	11.626468	2.333303	11.292738	3.169770	1.408203	0.365555
it	11.784791	2.066753	11.716574	2.361345	1.276758	0.368367
jacket	11.835602	3.802221	10.847000	3.896390	3.457347	0.439130
jar	11.905048	5.533712	12.666374	0.533712	4.452461	1.988617
jeans	13.409294	5.711455	11.551015	6.580700	3.725435	0.269487
jelly	14.185800	5.172002	12.317727	5.731957	3.120628	0.325611
juice	12.462284	2.646705	14.773824	2.375194	1.822535	1.012520
jump	12.566963	3.030649	12.359132	1.802972	3.108325	0.894788
keys	11.891220	5.102451	16.891220	3.441343	0.810032	3.053268
kick	11.290556	5.202153	10.451904	5.191969	3.546553	0.488952
kiss	11.535463	2.421296	16.075405	-2.237337	2.643183	2.084030
kitchen	11.591712	3.665297	11.498224	3.870600	2.408768	0.706755
kitty	12.105071	2.874402	13.478955	3.473039	2.028857	0.935055
knee	11.802837	2.730823	11.240663	3.363498	3.240418	0.422769
knife	13.699704	4.434123	11.796224	5.026239	3.135594	0.259741
knock	11.634559	4.363118	12.855370	-0.636882	4.051137	1.968393
ladder	13.485570	4.303133	12.214309	5.225948	3.034938	0.256583
lady	12.345257	5.220402	13.531462	4.779709	2.186837	1.220711
lamb	12.422209	3.943959	12.701706	-1.056041	4.205206	1.515676
lamp	12.363041	4.490518	10.938229	4.570960	3.779459	0.266830
last	11.602906	4.081403	12.938144	0.889862	3.232544	1.717229
later	11.356041	3.600954	11.408988	3.073683	3.190398	0.695672
lawn	13.910916	5.382135	11.805580	5.891990	3.769914	0.380684
leg	11.226893	2.898889	11.229540	0.728199	3.604416	0.959565
lick	11.305749	5.229599	10.489120	5.674663	3.593956	0.309784
light	12.018326	3.438443	12.541490	2.974053	2.853250	1.031493
like	12.021035	1.711852	12.792336	2.565130	1.429905	0.394182
lion	12.350234	3.317894	11.990412	4.022289	2.748940	0.482608
